Team,ORB,DRB,TRB,G,MP,ORB_per_game_sum_basis,ORB_per_1000_minutes,DRB_per_1000_minutes,TRB_per_1000_minutes
HOU,971.0,2116.0,3087.0,660.0,15562.0,1.4712121212121212,62.39557897442488,135.9722400719702,198.36781904639506
POR,906.0,2026.0,2932.0,658.0,15313.0,1.3768996960486322,59.16541500685692,132.30588388950565,191.47129889636255
DET,829.0,2035.0,2864.0,682.0,14883.0,1.215542521994135,55.70113552375193,136.7331855136733,192.43432103742526
NYK,821.0,2138.0,2959.0,713.0,15551.0,1.1514726507713886,52.794032538100446,137.483120056588,190.27715259468843
PHO,815.0,1910.0,2725.0,700.0,15422.0,1.1642857142857144,52.846582803786795,123.84904681623655,176.69562962002334
CHO,811.0,2095.0,2906.0,652.0,14631.0,1.2438650306748467,55.430250837263344,143.18911899391702,198.61936983118036
MIA,804.0,2310.0,3114.0,698.0,15865.0,1.151862464183381,50.67759218405295,145.6035297825402,196.28112196659313
NOP,801.0,1983.0,2784.0,649.0,15071.0,1.234206471494607,53.1484307610643,131.57720124742883,184.72563200849314
PHI,765.0,1961.0,2726.0,641.0,15181.0,1.1934477379095163,50.391937290033596,129.17462617745866,179.56656346749227
BOS,751.0,1995.0,2746.0,609.0,13811.0,1.2331691297208538,54.3769459126783,144.45007602635582,198.8270219390341
CLE,738.0,1896.0,2634.0,629.0,13760.0,1.1732909379968204,53.633720930232556,137.7906976744186,191.42441860465115
UTA,714.0,1897.0,2611.0,571.0,14047.0,1.2504378283712785,50.82935858190361,135.046629173489,185.8759877553926
MIN,712.0,2120.0,2832.0,659.0,15253.0,1.0804248861911987,46.67934176883236,138.98905133416378,185.66839310299613
SAC,704.0,1889.0,2593.0,588.0,14087.0,1.1972789115646258,49.97515439767161,134.09526513807057,184.07041953574216
SAS,695.0,2242.0,2937.0,708.0,15261.0,0.981638418079096,45.54092130266693,146.9104252670205,192.45134656968744
ORL,688.0,2009.0,2697.0,651.0,14493.0,1.0568356374807988,47.47119298971918,138.6186434830608,186.08983647277995
TOR,677.0,1939.0,2616.0,670.0,14803.0,1.01044776119403,45.73397284334256,130.98696210227658,176.72093494561912
BRK,662.0,1797.0,2459.0,645.0,14397.0,1.0263565891472868,45.981801764256446,124.81767034798916,170.7994721122456
DAL,644.0,2205.0,2849.0,670.0,15164.0,0.9611940298507463,42.46900553943551,145.41018201002373,187.87918754945923
GSW,641.0,1822.0,2463.0,641.0,14046.0,1.0,45.63576819023209,129.71664530827283,175.35241349850492
DEN,634.0,2177.0,2811.0,667.0,15775.0,0.9505247376311844,40.19017432646593,138.00316957210777,178.1933438985737
ATL,627.0,1884.0,2511.0,545.0,12987.0,1.1504587155963302,48.279048279048276,145.06814506814507,193.34719334719335
LAL,613.0,2024.0,2637.0,684.0,15034.0,0.8961988304093568,40.77424504456565,134.62817613409604,175.4024211786617
OKC,604.0,2246.0,2850.0,704.0,15694.0,0.8579545454545454,38.4860456225309,143.11201733146424,181.59806295399517
WAS,566.0,1628.0,2194.0,576.0,12187.0,0.9826388888888888,46.4429309920407,133.5849675884139,180.02789858045458
LAC,564.0,1790.0,2354.0,622.0,13556.0,0.9067524115755627,41.60519327235173,132.0448509884922,173.6500442608439
MIL,556.0,2051.0,2607.0,687.0,15172.0,0.8093158660844251,36.646453994199845,135.183232269971,171.82968626417085
IND,515.0,1758.0,2273.0,640.0,13645.0,0.8046875,37.742762916819345,128.83840234518138,166.58116526200072
MEM,475.0,1468.0,1943.0,493.0,11456.0,0.9634888438133874,41.46298882681564,128.14245810055866,169.6054469273743
CHI,456.0,1498.0,1954.0,435.0,10161.0,1.0482758620689656,44.8774726896959,147.42643440606238,192.3039070957583
