Feature,Coefficient,Abs_Value
sum_oreb_rate_r5,0.33565747596996587,0.33565747596996587
H_oreb_rate_r5,0.2616044071353131,0.2616044071353131
total_possessions_proxy_r5,0.24659678624609394,0.24659678624609394
cross_matchup_r5,0.2209917447592178,0.2209917447592178
A_oreb_rate_r5,0.18887850546678966,0.18887850546678966
A_oreb_r5,0.16668825105502239,0.16668825105502239
A_possessions_proxy_r5,0.16388827855101146,0.16388827855101146
total_missed_fg_r5,0.1620740947771027,0.1620740947771027
H_oreb_r5,0.13880610320930395,0.13880610320930395
H_possessions_proxy_r5,0.12926147978892275,0.12926147978892275
Away_rest,-0.10898756171692767,0.10898756171692767
H_missed_fg_r5,0.1066645796504492,0.1066645796504492
Home_rest,0.09687233606664947,0.09687233606664947
A_oreb_allowed_rate_r5,0.0728707271016553,0.0728707271016553
sum_oreb_allowed_rate_r5,0.07174721463390882,0.07174721463390882
H_oreb_allowed_rate_r5,0.06501188195844894,0.06501188195844894
Away_b2b,0.0480758664018759,0.0480758664018759
A_opp_oreb_r5,-0.03439247168080379,0.03439247168080379
b2b_any,-0.029175948507177862,0.029175948507177862
H_opp_oreb_r5,0.014041804250635039,0.014041804250635039
rest_sum,0.012756987909183622,0.012756987909183622
Home_b2b,-0.005389414181184436,0.005389414181184436
A_missed_fg_r5,0.00394915761329921,0.00394915761329921
